"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2024";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"4.819.128,16";"9.087.711,00";"8.532.350,00";"1.293.354,59";
"02/2024";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"6.278.404,43";"8.253.512,43";"7.820.292,21";"992.567,80";
"07/2024";"42000 - Ministério da Cultura";"20404 - Fundação Biblioteca Nacional";"5.058.949,83";"7.822.404,24";"9.672.991,12";"571.181,62";
"07/2024";"42000 - Ministério da Cultura";"20403 - Fundação Casa de Rui Barbosa";"1.119.448,95";"3.747.663,27";"3.867.944,03";"60.816,99";
"06/2024";"42000 - Ministério da Cultura";"20403 - Fundação Casa de Rui Barbosa";"1.321.530,84";"5.648.236,31";"4.574.745,73";"116.099,57";
"02/2024";"42000 - Ministério da Cultura";"20403 - Fundação Casa de Rui Barbosa";"6.013.711,55";"3.570.579,10";"3.645.907,62";"86.592,23";
"04/2024";"42000 - Ministério da Cultura";"20403 - Fundação Casa de Rui Barbosa";"3.293.854,82";"3.949.231,36";"3.843.712,75";"305.519,27";
"03/2024";"42000 - Ministério da Cultura";"20403 - Fundação Casa de Rui Barbosa";"- 3.088.649,77";"4.078.766,04";"4.122.086,19";"279.610,95";
"01/2024";"42000 - Ministério da Cultura";"20403 - Fundação Casa de Rui Barbosa";"43.258.619,39";"3.337.807,44";"944.845,16";"3.329.507,54";
"05/2024";"42000 - Ministério da Cultura";"20403 - Fundação Casa de Rui Barbosa";"1.429.281,94";"4.004.986,65";"4.030.418,55";"199.663,34";
"02/2024";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"376.775.137,16";"279.934.843,88";"155.222.897,45";"322.287.125,85";
"04/2024";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"1.095.991.734,91";"334.562.621,60";"407.616.332,90";"30.543.830,07";
"05/2024";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"211.247.168,94";"608.305.445,57";"387.090.819,06";"7.995.000,52";
"07/2024";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"56.416.244,12";"225.576.311,70";"383.736.517,02";"11.878.958,03";
"01/2024";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"237.535.974,84";"114.661.944,54";"1.988.212,71";"29.121.025,67";
"03/2024";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"384.215.018,56";"221.169.915,42";"354.171.982,75";"39.222.017,31";
"06/2024";"26000 - Ministério da Educação";"26291 - Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"1.650.044.974,49";"305.212.408,48";"389.519.324,27";"12.428.016,16";
"04/2024";"42000 - Ministério da Cultura";"20408 - Fundação Cultural Palmares";"2.163.196,68";"1.878.990,21";"2.000.023,01";"543.557,71";
"07/2024";"42000 - Ministério da Cultura";"20408 - Fundação Cultural Palmares";"2.509.641,97";"1.918.746,45";"1.518.235,51";"301.485,50";
"06/2024";"42000 - Ministério da Cultura";"20408 - Fundação Cultural Palmares";"1.736.586,44";"1.902.701,77";"1.683.621,63";"330.595,12";
"01/2024";"42000 - Ministério da Cultura";"20408 - Fundação Cultural Palmares";"8.947.818,29";"707.651,49";"11.411,32";"3.699.126,98";
"02/2024";"42000 - Ministério da Cultura";"20408 - Fundação Cultural Palmares";"3.452.292,71";"1.172.512,37";"1.150.391,32";"506.212,02";
"03/2024";"42000 - Ministério da Cultura";"20408 - Fundação Cultural Palmares";"566.667,69";"1.198.415,08";"1.228.033,40";"408.834,78";
"05/2024";"42000 - Ministério da Cultura";"20408 - Fundação Cultural Palmares";"1.567.095,58";"1.103.133,15";"1.076.310,99";"2.626.083,14";
"02/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"20202 - Fundação Escola Nacional de Administração Pública";"15.487.931,38";"4.382.172,12";"3.819.342,70";"2.122.247,56";
"04/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"20202 - Fundação Escola Nacional de Administração Pública";"3.239.848,62";"8.348.300,16";"8.083.008,79";"2.552.344,07";
"06/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"20202 - Fundação Escola Nacional de Administração Pública";"5.565.526,08";"9.490.822,27";"7.570.711,75";"1.728.353,37";
"05/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"20202 - Fundação Escola Nacional de Administração Pública";"7.662.286,15";"7.712.298,07";"7.645.996,73";"782.981,98";
"07/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"20202 - Fundação Escola Nacional de Administração Pública";"- 1.737.948,95";"6.796.311,20";"8.016.130,67";"792.370,85";
"03/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"20202 - Fundação Escola Nacional de Administração Pública";"2.331.293,55";"5.351.296,03";"5.311.717,47";"3.563.311,29";
"01/2024";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"20202 - Fundação Escola Nacional de Administração Pública";"51.694.050,24";"4.348.461,92";"506.219,34";"5.907.543,07";
"06/2024";"47000 - Ministério do Planejamento e Orçamento";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"1.119.616.326,88";"276.902.231,36";"212.190.696,08";"953.223,80";
"07/2024";"47000 - Ministério do Planejamento e Orçamento";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"37.617.803,51";"205.397.742,59";"253.939.096,56";"629.818,54";
"04/2024";"47000 - Ministério do Planejamento e Orçamento";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"440.037.759,18";"210.820.824,96";"202.156.312,51";"1.700.306,02";
"03/2024";"47000 - Ministério do Planejamento e Orçamento";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"188.150.794,92";"201.905.207,64";"202.027.940,91";"6.515.128,67";
"05/2024";"47000 - Ministério do Planejamento e Orçamento";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"34.813.041,26";"213.519.826,21";"203.342.329,46";"5.224.900,71";
"01/2024";"47000 - Ministério do Planejamento e Orçamento";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"213.489.566,81";"192.653.950,45";"22.214.648,66";"226.470.112,65";
"02/2024";"47000 - Ministério do Planejamento e Orçamento";"25205 - Fundação Instituto Brasileiro de Geografia e Estatística";"208.429.470,24";"196.476.364,57";"176.217.099,56";"7.950.272,92";
"05/2024";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"263.391,30";"11.379.351,11";"10.498.217,46";"273.176,28";
"03/2024";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"566.220,87";"9.633.149,78";"9.305.842,41";"157.868,40";
"04/2024";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"20.005.853,97";"11.738.620,17";"11.870.146,11";"212.516,54";
"06/2024";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"370.574,98";"13.415.337,82";"11.206.097,82";"287.482,81";
"07/2024";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"2.466.001,97";"10.103.211,37";"12.577.360,07";"406.908,70";
"02/2024";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"- 1.048.766,33";"10.207.507,30";"8.908.200,35";"1.562.967,23";
"01/2024";"26000 - Ministério da Educação";"26292 - Fundação Joaquim Nabuco";"116.209.323,27";"8.774.734,38";"1.457.852,42";"11.623.249,00";
"02/2024";"40000 - Ministério do Trabalho e Emprego";"37201 - Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"5.524.600,00";"8.019.932,09";"6.898.042,80";"1.802.889,60";
"05/2024";"40000 - Ministério do Trabalho e Emprego";"37201 - Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"1.064.606,80";"7.957.085,27";"7.916.386,05";"367.393,00";
"03/2024";"40000 - Ministério do Trabalho e Emprego";"37201 - Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"- 4.139.423,03";"7.864.893,66";"7.796.150,21";"245.478,91";
"07/2024";"40000 - Ministério do Trabalho e Emprego";"37201 - Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"9.642.868,39";"7.544.746,54";"10.398.773,85";"204.100,00";
"04/2024";"40000 - Ministério do Trabalho e Emprego";"37201 - Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"5.498.532,36";"7.970.041,47";"8.047.758,51";"71.727,70";
"06/2024";"40000 - Ministério do Trabalho e Emprego";"37201 - Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"4.561.400,23";"10.661.664,95";"8.175.089,40";"213.908,58";
"01/2024";"40000 - Ministério do Trabalho e Emprego";"37201 - Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"92.742.243,11";"7.371.157,95";"1.099.213,40";"8.349.495,77";
"02/2024";"42000 - Ministério da Cultura";"20412 - Fundação Nacional de Artes";"7.303.396,13";"7.291.237,22";"4.944.013,62";"3.789.163,59";
"03/2024";"42000 - Ministério da Cultura";"20412 - Fundação Nacional de Artes";"7.878.194,31";"8.697.874,45";"7.876.258,14";"4.993.974,39";
"01/2024";"42000 - Ministério da Cultura";"20412 - Fundação Nacional de Artes";"54.098.094,85";"4.922.814,60";"469.448,53";"7.473.064,10";
"07/2024";"42000 - Ministério da Cultura";"20412 - Fundação Nacional de Artes";"4.519.935,57";"8.805.989,43";"8.841.003,49";"9.854.132,64";
"06/2024";"42000 - Ministério da Cultura";"20412 - Fundação Nacional de Artes";"17.434.116,21";"9.628.731,84";"9.748.954,08";"2.535.915,86";
"05/2024";"42000 - Ministério da Cultura";"20412 - Fundação Nacional de Artes";"26.560.993,15";"9.122.792,86";"10.316.460,65";"2.308.134,98";
"04/2024";"42000 - Ministério da Cultura";"20412 - Fundação Nacional de Artes";"11.945.162,98";"17.577.447,66";"17.695.790,11";"854.544,57";
"07/2024";"36000 - Ministério da Saúde";"36211 - Fundação Nacional de Saúde";"64.401.160,22";"79.902.712,37";"189.212.599,80";"20.625.397,72";
"04/2024";"36000 - Ministério da Saúde";"36211 - Fundação Nacional de Saúde";"- 8.045.735,04";"134.696.631,95";"138.140.667,17";"14.603.381,91";
"01/2024";"36000 - Ministério da Saúde";"36211 - Fundação Nacional de Saúde";"1.518.685.501,99";"128.901.153,27";"5.824.018,29";"142.189.574,41";
"02/2024";"36000 - Ministério da Saúde";"36211 - Fundação Nacional de Saúde";"12.343.655,54";"125.187.088,66";"125.480.042,45";"27.051.373,68";
"03/2024";"36000 - Ministério da Saúde";"36211 - Fundação Nacional de Saúde";"17.080.892,96";"127.407.700,72";"126.744.913,02";"27.443.725,78";
"05/2024";"36000 - Ministério da Saúde";"36211 - Fundação Nacional de Saúde";"14.902.097,25";"135.270.782,58";"127.003.761,28";"27.781.055,10";
"06/2024";"36000 - Ministério da Saúde";"36211 - Fundação Nacional de Saúde";"11.535.844,79";"194.721.023,09";"142.111.070,93";"27.678.189,47";
"06/2024";"84000 - Ministério dos Povos Indígenas";"30202 - Fundação Nacional do Índio";"22.857.832,90";"74.252.987,69";"61.344.600,70";"9.078.733,48";
"05/2024";"84000 - Ministério dos Povos Indígenas";"30202 - Fundação Nacional do Índio";"126.411.669,77";"54.887.226,33";"51.842.854,25";"7.748.042,88";
"07/2024";"84000 - Ministério dos Povos Indígenas";"30202 - Fundação Nacional do Índio";"250.739.011,98";"53.422.188,90";"65.590.598,39";"4.253.395,82";
"04/2024";"84000 - Ministério dos Povos Indígenas";"30202 - Fundação Nacional do Índio";"41.423.649,75";"52.464.515,38";"52.281.701,95";"5.419.464,25";
"03/2024";"84000 - Ministério dos Povos Indígenas";"30202 - Fundação Nacional do Índio";"6.954.541,84";"45.713.354,19";"45.235.415,45";"10.114.557,44";
"02/2024";"84000 - Ministério dos Povos Indígenas";"30202 - Fundação Nacional do Índio";"34.908.759,23";"45.517.609,80";"39.651.471,61";"15.436.497,20";
"01/2024";"84000 - Ministério dos Povos Indígenas";"30202 - Fundação Nacional do Índio";"401.430.570,73";"37.951.428,12";"4.905.900,07";"53.229.767,60";
"02/2024";"84000 - Ministério dos Povos Indígenas";"30205 - Fundação Nacional do Índio - Patrimônio Indígena";"60.711,66";"33.232,26";"29.172,45";"79.628,68";
"06/2024";"84000 - Ministério dos Povos Indígenas";"30205 - Fundação Nacional do Índio - Patrimônio Indígena";"621.619,61";"767.517,16";"738.205,05";"0,00";
"04/2024";"84000 - Ministério dos Povos Indígenas";"30205 - Fundação Nacional do Índio - Patrimônio Indígena";"126.703,19";"102.521,11";"89.981,93";"17.119,58";
"03/2024";"84000 - Ministério dos Povos Indígenas";"30205 - Fundação Nacional do Índio - Patrimônio Indígena";"1.031.421,55";"49.823,66";"49.394,46";"15.270,30";
"05/2024";"84000 - Ministério dos Povos Indígenas";"30205 - Fundação Nacional do Índio - Patrimônio Indígena";"513.684,97";"437.558,65";"443.775,32";"236,14";
"01/2024";"84000 - Ministério dos Povos Indígenas";"30205 - Fundação Nacional do Índio - Patrimônio Indígena";"0,00";"0,00";"0,00";"19.478,01";
"07/2024";"84000 - Ministério dos Povos Indígenas";"30205 - Fundação Nacional do Índio - Patrimônio Indígena";"979.333,71";"119.961,96";"133.804,88";"715,05";
"01/2024";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"2.572.876.408,02";"245.374.770,80";"123.277.361,38";"494.788.638,99";
"05/2024";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"1.160.174.810,51";"662.196.103,20";"759.223.852,02";"229.584.555,32";
"07/2024";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"780.572.966,58";"774.100.715,76";"660.147.178,94";"185.361.333,42";
"04/2024";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"735.989.060,65";"668.876.625,32";"379.033.908,52";"442.734.902,30";
"06/2024";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"869.081.557,19";"1.046.068.547,62";"821.053.886,75";"191.504.947,20";
"03/2024";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"476.726.956,67";"452.838.287,81";"318.795.694,00";"652.783.616,76";
"02/2024";"36000 - Ministério da Saúde";"36201 - Fundação Oswaldo Cruz";"697.290.411,07";"319.697.273,45";"179.639.658,99";"409.526.216,44";
"03/2024";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"67.065,48";"2.320.560,69";"2.505.875,96";"656,49";
"05/2024";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"1.104.186,64";"2.843.313,65";"2.300.599,35";"5.220,00";
"01/2024";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"26.517.483,59";"1.703.381,67";"534.267,82";"1.778.391,13";
"06/2024";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"14.163,53";"5.682.833,40";"2.729.711,43";"838,95";
"02/2024";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"218.286,65";"2.175.071,07";"1.888.714,64";"1.385,73";
"04/2024";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"252.025,33";"2.267.841,54";"2.174.092,62";"0,00";
"07/2024";"52000 - Ministério da Defesa";"52222 - Fundação Osório";"2.018.094,08";"1.674.284,56";"4.623.550,54";"0,00";
"04/2024";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"47.797.907,35";"165.086.521,88";"160.237.508,91";"20.033.208,57";
"05/2024";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"59.606.788,69";"176.469.846,39";"166.796.966,79";"19.399.390,19";
"06/2024";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"97.239.236,43";"222.217.023,78";"175.611.670,02";"12.205.810,36";
"03/2024";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"36.388.922,13";"155.983.255,34";"152.857.025,28";"40.532.204,61";
"07/2024";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"22.151.895,06";"170.981.416,19";"182.257.719,48";"9.832.526,21";
"02/2024";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"10.553.253,02";"150.479.479,96";"135.042.024,89";"48.713.430,67";
"01/2024";"26000 - Ministério da Educação";"26271 - Fundação Universidade de Brasília";"1.920.474.392,35";"152.313.009,12";"31.382.078,55";"172.781.284,51";
"01/2024";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"845.242.748,53";"66.401.620,99";"12.339.083,86";"76.149.077,78";
"03/2024";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"6.761.882,06";"75.161.657,10";"73.224.035,53";"9.538.666,37";
"04/2024";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"41.699.499,54";"76.169.584,12";"79.164.542,24";"8.656.662,90";
"05/2024";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"38.098.386,10";"92.472.024,34";"77.395.737,22";"3.541.532,58";
"06/2024";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"11.682.634,01";"101.474.790,13";"89.411.938,87";"1.697.098,04";
"02/2024";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"9.236.160,29";"72.099.151,98";"63.693.761,96";"15.366.415,55";
"07/2024";"26000 - Ministério da Educação";"26270 - Fundação Universidade do Amazonas";"14.272.401,44";"76.856.862,89";"89.251.660,15";"3.863.578,96";
"01/2024";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"787.768.840,38";"80.193.644,31";"17.033.444,38";"77.764.078,12";
"07/2024";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"36.753.685,97";"88.228.245,74";"97.684.846,31";"1.333.234,64";
"04/2024";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"40.000.196,49";"92.017.543,36";"83.530.479,24";"11.289.076,34";
"02/2024";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"22.066.555,39";"86.435.783,05";"81.996.113,68";"5.305.793,95";
"05/2024";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"36.541.719,27";"92.855.294,02";"93.279.620,73";"2.102.010,12";
"03/2024";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"6.653.835,78";"82.716.104,61";"85.334.419,38";"5.379.887,81";
"06/2024";"26000 - Ministério da Educação";"26272 - Fundação Universidade do Maranhão";"26.716.761,29";"112.896.526,64";"91.493.981,99";"1.876.768,66";
"04/2024";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"5.751.792,87";"23.762.623,11";"23.681.751,21";"2.956.171,67";
"02/2024";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"7.206.216,94";"23.627.219,49";"21.037.792,28";"6.712.673,90";
"05/2024";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"4.784.463,71";"25.978.199,28";"23.885.479,33";"2.365.898,28";
"06/2024";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"470.436,21";"34.495.666,71";"26.428.754,32";"1.667.091,10";
"07/2024";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"6.953.562,09";"28.136.620,10";"30.536.846,30";"1.499.185,31";
"03/2024";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"1.624.450,91";"23.563.876,59";"23.682.555,56";"5.493.842,36";
"01/2024";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"305.562.347,57";"23.766.182,07";"5.064.967,41";"26.807.504,97";
"06/2024";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"1.717.776,29";"20.329.297,22";"17.424.886,23";"271.072,11";
"07/2024";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"4.034.526,79";"16.321.008,31";"18.424.546,62";"60.830,27";
"02/2024";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"8.631.343,35";"14.502.425,68";"13.280.938,26";"3.619.703,87";
"03/2024";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"1.029.473,53";"15.146.641,85";"14.846.126,60";"1.185.940,42";
"04/2024";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"17.251.332,62";"16.597.322,37";"16.129.250,38";"620.809,52";
"01/2024";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"148.268.069,31";"14.593.365,50";"2.266.510,83";"15.683.401,83";
"05/2024";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"18.836.801,73";"18.022.642,15";"16.507.256,86";"1.011.811,61";
"04/2024";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"6.108.113,70";"73.299.970,26";"74.675.559,28";"1.552.145,07";
"07/2024";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"39.934.269,90";"76.659.469,19";"85.016.062,44";"543.677,51";
"02/2024";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"32.544.436,44";"75.102.037,54";"66.530.714,50";"16.694.681,82";
"01/2024";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"793.107.309,92";"72.131.108,24";"13.119.936,29";"81.648.990,90";
"06/2024";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"27.870.483,29";"97.411.097,78";"82.836.548,91";"505.221,91";
"05/2024";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"25.345.025,81";"83.295.188,64";"75.435.744,91";"10.302.906,42";
"03/2024";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"- 10.625.234,55";"76.595.044,56";"75.553.113,39";"2.285.847,19";
"07/2024";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"66.345.378,85";"27.328.866,39";"26.285.486,97";"5.164.915,75";
"01/2024";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"75.831.811,79";"24.381.138,81";"5.121.393,90";"28.853.607,93";
"03/2024";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"50.323.385,37";"25.101.438,65";"24.597.939,33";"3.807.231,84";
"04/2024";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"7.054.552,39";"26.534.065,97";"25.698.603,33";"4.181.412,60";
"06/2024";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"29.031.828,69";"34.763.535,52";"28.198.177,93";"4.109.153,63";
"02/2024";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"3.659.926,95";"24.276.378,26";"21.495.821,42";"7.217.364,13";
"05/2024";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"18.731.957,07";"31.396.850,11";"27.196.787,71";"2.065.271,85";
"07/2024";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"20.343.519,54";"74.612.685,51";"81.390.427,89";"1.073.093,03";
"05/2024";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"27.949.898,45";"85.344.036,53";"78.164.689,33";"22.482.448,28";
"01/2024";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"757.273.185,29";"72.969.937,66";"18.198.512,31";"65.135.948,67";
"03/2024";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"- 26.581.414,69";"75.042.716,69";"76.016.204,44";"3.212.283,27";
"06/2024";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"13.879.172,56";"96.678.406,08";"83.371.170,75";"2.161.050,63";
"04/2024";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"30.552.450,38";"78.839.037,07";"79.164.457,54";"3.243.975,45";
"02/2024";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"96.284.285,87";"74.045.972,47";"64.680.815,56";"12.972.591,96";
"07/2024";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"76.273.768,40";"63.064.463,31";"73.847.774,78";"2.270.106,71";
"04/2024";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"72.219.110,30";"61.850.855,60";"50.010.049,68";"3.172.150,84";
"01/2024";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"65.326.986,97";"64.536.436,14";"12.808.025,11";"60.053.670,36";
"06/2024";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"79.252.771,26";"84.393.490,17";"63.509.379,28";"1.345.247,37";
"05/2024";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"68.014.471,86";"62.473.668,41";"70.736.442,31";"2.916.178,22";
"03/2024";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"58.630.043,06";"56.992.475,20";"61.588.055,65";"2.904.899,18";
"02/2024";"26000 - Ministério da Educação";"26280 - Fundação Universidade Federal de São Carlos";"62.827.386,46";"61.804.962,46";"56.961.950,84";"10.623.205,63";
"03/2024";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"2.290.126,79";"30.998.256,59";"31.132.875,62";"1.155.960,27";
"05/2024";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"9.454.832,79";"35.294.287,54";"32.581.678,50";"720.038,41";
"02/2024";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"5.659.956,00";"30.634.748,42";"28.143.254,94";"5.241.920,24";
"04/2024";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"32.170.298,99";"32.674.603,85";"32.403.159,37";"632.288,34";
"01/2024";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"330.647.644,58";"32.529.563,79";"2.856.325,12";"33.286.595,39";
"07/2024";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"6.717.291,44";"34.229.234,53";"43.491.018,98";"1.671.378,17";
"06/2024";"26000 - Ministério da Educação";"26285 - Fundação Universidade Federal de São João Del-Rei";"10.415.036,84";"41.567.622,81";"33.657.218,52";"538.727,96";
"05/2024";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"38.743.422,46";"134.699.485,38";"136.277.246,44";"1.708.404,74";
"02/2024";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"23.098.448,51";"124.264.386,06";"111.469.698,58";"25.993.319,46";
"01/2024";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"1.521.196.146,80";"128.243.758,86";"26.476.537,65";"137.541.043,75";
"07/2024";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"19.047.230,32";"129.746.965,61";"144.190.817,13";"293.112,43";
"03/2024";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"- 12.304.582,55";"121.969.566,43";"124.862.613,20";"7.090.003,31";
"04/2024";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"48.721.765,97";"141.959.166,40";"133.789.053,07";"2.742.640,82";
