"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2024";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"433.639.251,08";"29.608.861,44";"108.905,16";"40.155.460,86";
"05/2024";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"176.800,00";"888.215,28";"829.066,58";"20.800,00";
"03/2024";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"5.048.184,56";"645.397,38";"552.030,09";"4.912,05";
"07/2024";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"1.816.529,98";"728.048,78";"836.550,38";"0,00";
"06/2024";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"210.538,70";"1.731.291,00";"1.650.853,02";"87.839,74";
"01/2024";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"4.917.010,30";"344.073,06";"5.318,06";"543.077,93";
"04/2024";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"303.084,10";"510.310,35";"616.825,12";"0,00";
"02/2024";"30000 - Ministério da Justiça e Segurança Pública";"30212 - Autoridade Nacional de Proteção de Dados";"5.000.506,01";"611.296,13";"610.869,16";"29.964,43";
"03/2024";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"291.159.245,84";"316.327.922,77";"308.054.701,83";"10.993.826,60";
"01/2024";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"362.940.829,47";"304.868.420,24";"16.464.330,71";"150.878.765,73";
"07/2024";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"383.012.240,54";"282.361.627,16";"313.280.895,54";"614.591,53";
"06/2024";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"316.830.395,89";"316.006.730,34";"169.019.325,61";"1.219.777,13";
"04/2024";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"474.596.707,35";"419.456.645,34";"320.604.749,89";"10.191.401,73";
"05/2024";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"317.801.372,51";"322.186.831,21";"572.216.453,71";"3.420.464,21";
"02/2024";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"25201 - Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"322.338.268,51";"304.498.697,32";"304.406.442,97";"11.482.907,62";
"05/2024";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"260.513,38";"28.399.843,67";"29.365.799,44";"2.302.700,64";
"07/2024";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"23.670.061,44";"17.414.291,27";"15.644.447,43";"127.182,86";
"06/2024";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"894.841,06";"16.824.939,10";"16.821.582,25";"1.765.837,45";
"01/2024";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"209.593.867,00";"0,00";"0,00";"26.608.847,26";
"04/2024";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"883.176,29";"17.832.536,77";"16.846.826,53";"3.207.900,73";
"03/2024";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"45.999.566,57";"8.473.031,48";"8.463.851,90";"13.997.429,86";
"02/2024";"52000 - Ministério da Defesa";"31280 - Caixa de Construções de Casas para o Pessoal da Marinha do Brasil";"577.569,96";"6.874.349,91";"6.864.690,31";"12.877.413,28";
"05/2024";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"681.065,03";"373.587,86";"362.619,69";"64.317,72";
"03/2024";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"19.000,00";"142.017,01";"134.433,77";"106.451,70";
"06/2024";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"268.684,77";"460.880,35";"430.452,31";"90.206,85";
"02/2024";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"110.000,00";"134.266,38";"126.036,45";"568.081,27";
"04/2024";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"715.686,37";"302.849,05";"308.756,54";"83.400,21";
"01/2024";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"1.853.346,00";"139.883,04";"0,00";"953.477,11";
"07/2024";"52000 - Ministério da Defesa";"52211 - Caixa de Financiamento Imobiliário da Aeronáutica";"96.063,80";"773.360,63";"768.612,56";"53.101,31";
"04/2024";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"14.938.864,03";"36.472.261,25";"34.825.406,86";"2.534.061,84";
"05/2024";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"7.335.695,93";"43.774.919,38";"37.360.564,19";"1.561.690,15";
"07/2024";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"598.898,84";"37.542.176,39";"41.172.335,48";"3.613.559,63";
"03/2024";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"1.716.829,04";"35.669.331,02";"35.408.557,62";"3.072.545,57";
"02/2024";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"5.318.529,15";"34.266.775,69";"30.023.867,97";"6.624.726,21";
"06/2024";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"17.785.557,96";"47.401.285,52";"42.970.812,93";"4.239.064,99";
"01/2024";"26000 - Ministério da Educação";"26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca";"432.346.026,38";"33.048.210,06";"6.001.732,95";"43.700.944,00";
"05/2024";"26000 - Ministério da Educação";"26257 - Centro Federal de Educação Tecnológica de Minas Gerais";"7.302.235,51";"44.936.710,96";"43.874.703,14";"896.349,35";
